IMU												UWB							Encoder Odometry		
.header.stamp.secs	.linear_acceleration.x	.linear_acceleration.y	.linear_acceleration.z	.angular_velocity.x	.angular_velocity.y	.angular_velocity.z	.orientation.x	.orientation.y	.orientation.z	.orientation.w		.header.stamp.secs	range1	range2	range3	range4	range5		.header.stamp.secs	odom.x	odom.y
705182215228	0.338870026207156	-0.350192763199657	-10.3734316503345	0.020410645525503	0.024299283077723	-0.384273439220958	-0.6576561563	0.0483062227	-0.0316894192	0.7510795182		1715156679133743286	5084	5131	3301	3778	4803		1715156742338896130	0.131956499114834	-1.93226412416541
705232218542	0.427888581820577	-0.136867818897264	-10.3175583719432	0.026297546470366	0.073692838188665	-0.265862040042065	-0.655239166699999	0.0482390841	-0.0314544341	0.7531943841		1715156679209096670	5150	5281	3282	3773	4907		1715156742358896220	0.141320557678697	-1.9433350913
705287226725	0.48942704636678	-0.260296146110072	-10.2174426317214	0.016583751698681	0.079687314196811	-0.324715869472485	-0.6525200534	0.0479369604	-0.0303802165	0.7556113737		1715156679283588647	5183	4630	3300	3783	4860		1715156742378896213	0.150901877739483	-1.95435135962551
705337242825	0.548619240047782	-0.446320164437592	-9.96739118157625	0.073005135093801	0.034486502586846	-0.345161256766646	-0.6511437121	0.0510924746	-0.032562221	0.756484175499999		1715156679358432531	5155	5197	3455	3726	5005		1715156742398895683	0.160626861543345	-1.96524050118133
705390210424	0.659731590580195	-0.389500143248029	-10.3345632827579	-0.029057374066232	-0.002159770588892	-0.371624189701895	-0.647216104	0.0508574895	-0.0306823402	0.759941813399999		1715156679433708906	5206	5300	3314	4064	4921		1715156742418895392	0.170494194876575	-1.97600105605172
705442231414	0.717795145557448	-0.068683678392041	-10.3752062587916	0.025548157906753	0.077301446432858	-0.377699825544261	-0.643489911699999	0.0492125938	-0.029540984	0.763265174099999		1715156679509009122	5140	4972	3324	3750	4907		1715156742438895675	0.180502346950108	-1.98663133994647
705492258354	0.71619406703636	0.036357489867369	-10.2592417920529	0.021275269901722	0.049727717329315	-0.37835522948853	-0.638958056199999	0.0477019753	-0.0284331971	0.7671927822		1715156679576841354	5033	5037	0	3745	4897		1715156742458862268	0.190632218384269	-1.99711152157411
705546292784	0.632078152240067	0.178776275688968	-10.0911321275353	0.038320844942341	-0.060646236712584	-0.376745282030549	-0.6369774675	0.0504210886	-0.031219449	0.7685691235		1715156679652321100	5084	5014	3347	3675	4907		1715156742478912989	0.201139667668541	-2.0077007793436
705596242741	0.469768698433786	-0.278753082364052	-10.405905348438	-0.045102580497039	0.017349692432647	-0.376149133420535	-0.633083428699999	0.0498168412	-0.0306487709	0.771825345599999		1715156679727235078	5075	5103	3324	3651	4921		1715156742498896813	0.211761339738195	-2.01810445551288
705648263611	0.495723150836303	-0.14341231777044	-9.99385131847858	0.000325662469276	0.021412668208024	-0.398737932628533	-0.6288201276	0.0487761929	-0.0297088305	0.775417260699999		1715156679801645755	5056	5145	3319	3651	4944		1715156742518898317	0.22253917566687	-2.02836535046289
705695286826	0.447357873454876	0.259427400451526	-10.1367809490323	0.007543009514972	-0.013092090556154	-0.307476129182452	-0.624691103699999	0.0477691139	-0.0298431077	0.77880776		1715156679876753568	5122	4724	3292	3717	4958		1715156742538897757	0.233460605500108	-2.03847101134506
705748283041	0.398240937455929	0.053930058201985	-10.7155394528865	-0.047699894929166	0.017726655602867	-0.224478913547215	-0.625597474799999	0.0489776087	-0.0333678842	0.7778678196		1715156679951209783	5145	4494	3300	3731	4939		1715156742558896885	0.244524348764712	-2.04842031727866
705801286871	0.77803977090083	0.122271330064255	-10.2826729365229	0.024211350908074	-0.003909484069831	-0.206970826487843	-0.6247582423	0.0470641586	-0.0320586815	0.778707052099999		1715156680027546405	5117	5047	3263	3736	4935		1715156742578918174	0.255454314662562	-2.05797195058292
705856229172	0.775712570062279	0.141211684187315	-10.4283626794397	-0.007623219037608	-0.067900125761418	-0.144264534803541	-0.6245568265	0.0452514164	-0.030883756	0.7790091758		1715156680103384494	5075	5234	3282	3642	4897		1715156742598898209	0.266488202307899	-2.06735724666885
705906268102	0.659896571883559	-0.072018284441158	-10.2374367874801	0.016555021808124	-0.000773517219208	-0.216631077157455	-0.626604553799999	0.0468291735	-0.0334014535	0.777162864299999		1715156680165661811	5112	5244	0	0	4968		1715156742618898951	0.277657870915066	-2.07660409033979
705956322147	0.543203900468163	0.098236082221288	-10.3059275553822	-0.017730232144987	0.047848162261667	-0.198501191917821	-0.6255303362	0.0455199708	-0.0328307754	0.778136373999999		1715156680241297483	5112	5065	3287	3731	4925		1715156742638897484	0.288948775976251	-2.08569994841815
706006295121	0.869645383865386	0.047384769310942	-10.1185999801754	-0.009769576553252	-0.047955092340623	-0.184965259558573	-0.6251610739	0.0438415058	-0.0315887113	0.7785727749		1715156680316197156	5140	5159	3292	3722	4925		1715156742658897663	0.300361063668179	-2.09464497312225
706061288764	0.670038465061038	-0.082723154396797	-10.3803406990706	-0.034377743665235	-0.012148549226696	-0.179471640927687	-0.6249596581	0.0422301794	-0.0310180332	0.778874898599999		1715156680391000747	5117	5216	3300	3680	4916		1715156742678894059	0.312128119810923	-2.10361701082134
706111306060	0.538770776858925	0.053740147953341	-10.2750040093302	-0.023362276895908	0.006436589877423	-0.18490578784248	-0.627007385399999	0.0432036891	-0.0337371465	0.7770621564		1715156680466240167	5089	5216	3300	3764	4930		1715156742698898096	0.324027879074464	-2.11242179193675
706161286327	0.531373360083997	-0.126158948619943	-10.3664466137528	-0.009487941026193	0.00376907514314	-0.208642759020195	-0.6267052617	0.041961625	-0.0329650526	0.777397849399999		1715156680541359186	5065	4742	3277	3703	4916		1715156742718896445	0.336049998546037	-2.12105153625769
706213275672	0.564750290637463	-0.395007873818837	-10.6770486864507	0.027968370045795	-0.010097260840332	-0.322749624350166	-0.6249932274	0.0418273478	-0.0311858797	0.778841329299999		1715156680615670680	5103	5150	3306	3694	4939		1715156742738896683	0.348196472319005	-2.12950779983633
