Frame	Time	uav X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		6D X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
17	1.60000	36.79996	13.53890	306.98550	-0.05683	0.02054	0.00763	0.21029	1.00000	0.00013	-0.00036	-0.00013	1.00000	-0.00099	0.00036	0.00099	1.00000		36.79996	13.53890	306.98550	-0.04340	0.00210	-0.00348	0.24533	1.00000	-0.00006	-0.00004	0.00006	1.00000	-0.00076	0.00004	0.00076	1.00000	
18	1.70000	36.80299	13.52697	306.98037	-0.05514	0.01886	0.00434	0.20373	1.00000	0.00008	-0.00033	-0.00008	1.00000	-0.00096	0.00033	0.00096	1.00000		36.80299	13.52697	306.98037	-0.04171	0.00042	-0.00677	0.24211	1.00000	-0.00012	-0.00001	0.00012	1.00000	-0.00073	0.00001	0.00073	1.00000	
19	1.80000	36.80079	13.54942	306.98177	-0.05879	0.02379	0.00782	0.20219	1.00000	0.00014	-0.00042	-0.00014	1.00000	-0.00103	0.00042	0.00103	1.00000		36.80079	13.54942	306.98177	-0.04536	0.00535	-0.00330	0.23859	1.00000	-0.00006	-0.00009	0.00006	1.00000	-0.00079	0.00009	0.00079	1.00000	
20	1.90000	36.78245	13.51824	306.97494	-0.06080	0.01998	0.00649	0.21450	1.00000	0.00011	-0.00035	-0.00011	1.00000	-0.00106	0.00035	0.00106	1.00000		36.78245	13.51824	306.97494	-0.04737	0.00154	-0.00463	0.25165	1.00000	-0.00008	-0.00003	0.00008	1.00000	-0.00083	0.00003	0.00083	1.00000	
21	2.00000	36.75374	13.56829	306.94492	-0.05147	0.02189	0.00597	0.20375	1.00000	0.00010	-0.00038	-0.00010	1.00000	-0.00090	0.00038	0.00090	1.00000		36.75374	13.56829	306.94492	-0.03804	0.00346	-0.00515	0.23585	1.00000	-0.00009	-0.00006	0.00009	1.00000	-0.00066	0.00006	0.00066	1.00000	
22	2.10000	36.79595	13.56333	306.98331	-0.05397	0.02868	0.00250	0.20717	1.00000	0.00004	-0.00050	-0.00004	1.00000	-0.00094	0.00050	0.00094	1.00000		36.79595	13.56333	306.98331	-0.04054	0.01025	-0.00862	0.23462	1.00000	-0.00015	-0.00018	0.00015	1.00000	-0.00071	0.00018	0.00071	1.00000	
23	2.20000	37.02649	13.60168	307.01709	-0.05758	0.06476	0.00784	0.20436	1.00000	0.00014	-0.00113	-0.00014	1.00000	-0.00100	0.00113	0.00100	1.00000		37.02649	13.60168	307.01709	-0.04414	0.04633	-0.00329	0.22880	1.00000	-0.00006	-0.00081	0.00006	1.00000	-0.00077	0.00081	0.00077	1.00000	
24	2.30000	37.68151	13.95487	307.31724	-0.09283	0.15237	-0.01210	0.21088	1.00000	-0.00022	-0.00266	0.00021	1.00000	-0.00162	0.00266	0.00162	1.00000		37.68151	13.95487	307.31724	-0.07941	0.13391	-0.02325	0.24391	1.00000	-0.00041	-0.00234	0.00041	1.00000	-0.00139	0.00234	0.00139	1.00000	
25	2.40000	40.04518	14.11238	308.16389	-0.22219	0.57220	0.15494	0.26311	0.99995	0.00267	-0.01000	-0.00270	0.99999	-0.00385	0.00999	0.00388	0.99994		40.04518	14.11238	308.16389	-0.20870	0.55379	0.14368	0.28081	0.99995	0.00247	-0.00967	-0.00251	0.99999	-0.00362	0.00967	0.00364	0.99995	
26	2.50000	42.75067	13.99316	309.43194	-0.30258	0.86495	0.54102	0.25274	0.99984	0.00936	-0.01514	-0.00944	0.99994	-0.00514	0.01510	0.00528	0.99987		42.75067	13.99316	309.43194	-0.28899	0.84664	0.52971	0.28119	0.99985	0.00917	-0.01482	-0.00924	0.99995	-0.00491	0.01478	0.00504	0.99988	
27	2.60000	48.14953	14.68819	312.33804	-0.21321	2.02181	1.47539	0.22318	0.99905	0.02562	-0.03536	-0.02573	0.99966	-0.00281	0.03528	0.00372	0.99937		48.14953	14.68819	312.33804	-0.19932	2.00374	1.46378	0.23319	0.99906	0.02542	-0.03504	-0.02553	0.99967	-0.00258	0.03496	0.00348	0.99938	
28	2.70000	56.34187	15.77257	320.63418	-0.39714	3.44436	1.94892	0.31901	0.99762	0.03359	-0.06028	-0.03395	0.99941	-0.00488	0.06008	0.00692	0.99817		56.34187	15.77257	320.63418	-0.38310	3.42640	1.93697	0.33319	0.99764	0.03340	-0.05996	-0.03374	0.99942	-0.00466	0.05977	0.00667	0.99819	
29	2.80000	59.37305	15.30992	333.31319	-0.46146	2.63356	1.60905	0.27556	0.99855	0.02771	-0.04615	-0.02805	0.99958	-0.00676	0.04595	0.00805	0.99891		59.37305	15.30992	333.31319	-0.44753	2.61551	1.59730	0.30279	0.99857	0.02752	-0.04583	-0.02785	0.99959	-0.00654	0.04563	0.00780	0.99893	
30	2.90000	59.26009	13.75781	349.63266	-1.00497	1.63919	1.63267	0.28626	0.99918	0.02799	-0.02909	-0.02848	0.99945	-0.01672	0.02861	0.01753	0.99944		59.26009	13.75781	349.63266	-0.99105	1.62116	1.62117	0.29443	0.99920	0.02780	-0.02876	-0.02828	0.99946	-0.01649	0.02829	0.01729	0.99945	
31	3.00000	59.95315	12.13982	367.76250	-1.16844	1.79101	1.49633	0.23412	0.99917	0.02547	-0.03177	-0.02610	0.99947	-0.01957	0.03125	0.02038	0.99930		59.95315	12.13982	367.76250	-1.15456	1.77294	1.48480	0.26150	0.99919	0.02528	-0.03144	-0.02590	0.99948	-0.01934	0.03094	0.02014	0.99932	
32	3.10000	62.82279	10.11560	386.53542	-1.63755	1.92315	1.48609	0.25888	0.99910	0.02496	-0.03428	-0.02592	0.99928	-0.02770	0.03356	0.02856	0.99903		62.82279	10.11560	386.53542	-1.62368	1.90508	1.47453	0.29001	0.99912	0.02478	-0.03395	-0.02572	0.99929	-0.02747	0.03324	0.02832	0.99905	
33	3.20000	72.19437	8.46491	406.44158	-2.05458	3.07503	1.87488	0.22932	0.99803	0.03077	-0.05475	-0.03267	0.99889	-0.03408	0.05364	0.03580	0.99792		72.19437	8.46491	406.44158	-2.04055	3.05706	1.86301	0.27252	0.99805	0.03059	-0.05443	-0.03246	0.99890	-0.03386	0.05333	0.03556	0.99794	
34	3.30000	80.96324	5.58290	428.54350	-1.60749	3.88452	2.09277	0.30821	0.99704	0.03460	-0.06870	-0.03643	0.99901	-0.02556	0.06775	0.02799	0.99731		80.96324	5.58290	428.54350	-1.59339	3.86658	2.08071	0.33539	0.99707	0.03442	-0.06837	-0.03622	0.99902	-0.02534	0.06743	0.02774	0.99734	
