Frame	Time	uav X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		6D X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
17	1.60000	12.38952	-4.99875	309.18815	0.02430	0.01077	0.02580	0.11578	1.00000	0.00045	-0.00019	-0.00045	1.00000	0.00042	0.00019	-0.00042	1.00000		12.38952	-4.99875	309.18815	-1.96667	1.94313	-0.67928	0.71342	0.99935	-0.01301	-0.03348	0.01185	0.99933	-0.03472	0.03391	0.03430	0.99884	
18	1.70000	12.39308	-4.97209	309.16036	0.01437	0.01510	0.02266	0.11164	1.00000	0.00040	-0.00026	-0.00040	1.00000	0.00025	0.00026	-0.00025	1.00000		12.39308	-4.97209	309.16036	-1.97647	1.94758	-0.68227	0.72160	0.99935	-0.01307	-0.03355	0.01190	0.99932	-0.03489	0.03399	0.03447	0.99883	
19	1.80000	12.37520	-4.99839	309.18032	0.01614	0.01339	0.02074	0.11544	1.00000	0.00036	-0.00023	-0.00036	1.00000	0.00028	0.00023	-0.00028	1.00000		12.37520	-4.99839	309.18032	-1.97466	1.94593	-0.68426	0.72742	0.99935	-0.01311	-0.03352	0.01194	0.99932	-0.03486	0.03396	0.03444	0.99883	
20	1.90000	12.39148	-5.01485	309.16919	0.01712	0.00959	0.02244	0.11345	1.00000	0.00039	-0.00017	-0.00039	1.00000	0.00030	0.00017	-0.00030	1.00000		12.39148	-5.01485	309.16919	-1.97376	1.94206	-0.68270	0.71719	0.99935	-0.01308	-0.03346	0.01191	0.99932	-0.03484	0.03389	0.03442	0.99883	
21	2.00000	12.37695	-4.99086	309.16588	0.01632	0.01252	0.02114	0.12420	1.00000	0.00037	-0.00022	-0.00037	1.00000	0.00028	0.00022	-0.00028	1.00000		12.37695	-4.99086	309.16588	-1.97452	1.94503	-0.68389	0.71175	0.99935	-0.01310	-0.03351	0.01193	0.99932	-0.03486	0.03394	0.03444	0.99883	
22	2.10000	12.36501	-5.00437	309.15774	0.01473	0.01370	0.02678	0.11643	1.00000	0.00047	-0.00024	-0.00047	1.00000	0.00026	0.00024	-0.00026	1.00000		12.36501	-5.00437	309.15774	-1.97625	1.94605	-0.67820	0.70956	0.99935	-0.01300	-0.03353	0.01183	0.99932	-0.03488	0.03396	0.03447	0.99883	
23	2.20000	12.36941	-5.00191	309.17516	0.01833	0.00949	0.02404	0.12772	1.00000	0.00042	-0.00017	-0.00042	1.00000	0.00032	0.00017	-0.00032	1.00000		12.36941	-5.00191	309.17516	-1.97260	1.94192	-0.68110	0.72268	0.99936	-0.01305	-0.03345	0.01188	0.99932	-0.03482	0.03389	0.03440	0.99883	
24	2.30000	12.31755	-4.92668	309.19985	0.02297	0.00626	0.01119	0.19988	1.00000	0.00020	-0.00011	-0.00020	1.00000	0.00040	0.00011	-0.00040	1.00000		12.31755	-4.92668	309.19985	-1.96751	1.93919	-0.69411	0.73752	0.99935	-0.01327	-0.03340	0.01211	0.99932	-0.03474	0.03384	0.03431	0.99884	
25	2.40000	12.31742	-4.90090	309.20824	0.02539	0.01357	0.01474	0.19264	1.00000	0.00026	-0.00024	-0.00026	1.00000	0.00044	0.00024	-0.00044	1.00000		12.31742	-4.90090	309.20824	-1.96524	1.94633	-0.69029	0.73813	0.99935	-0.01321	-0.03353	0.01204	0.99933	-0.03470	0.03396	0.03427	0.99884	
26	2.50000	12.37142	-4.98199	309.16076	0.01908	0.01605	0.02770	0.11194	1.00000	0.00048	-0.00028	-0.00048	1.00000	0.00033	0.00028	-0.00033	1.00000		12.37142	-4.98199	309.16076	-1.97194	1.94833	-0.67718	0.70122	0.99935	-0.01298	-0.03357	0.01181	0.99932	-0.03481	0.03400	0.03439	0.99883	
